Data,Hora,Equipe,Liga,Tipo,Ano,Temporada,Simulador,Categoria,Pista,Inicio,Final,Pole,Best Lap,Hat-Trick,Chelem,Campeão,Construtores,Eventos,Transmissão,Já Foi?
06/11/19,22:00,Grip,F1BC,Road,2019,2019/3,Automobilista,Marcas Pro,Cordoba,9,14,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=Uo2xDzd_5ag,TRUE
07/11/19,22:00,Vakuum,F1BC,Road,2019,2019/3,Assetto Corsa,GT Series,Spa-Francorchamps,9,9,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=Fu_vJXZyu54,TRUE
20/11/19,22:00,Grip,F1BC,Road,2019,2019/3,Automobilista,Marcas Pro,Interlagos,8,6,-,SIM,-,-,-,-,-,https://www.youtube.com/watch?v=de6ZKEYJi7g,TRUE
21/11/19,22:00,Vakuum,F1BC,Road,2019,2019/3,Assetto Corsa,GT Series,Chang,11,10,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=s36Jr2b11GU,TRUE
04/12/19,22:00,Grip,F1BC,Road,2019,2019/3,Automobilista,Marcas Pro,Monza,9,DNF,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=jzdlDc6i7_g,TRUE
05/12/19,22:00,Vakuum,F1BC,Road,2019,2019/3,Assetto Corsa,GT Series,Paul Ricard,11,11,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=beEAyhVNauM,TRUE
07/12/19,23:59,Grip,ProRace,Road,2019,2020/1,Automobilista,GT3,Silverstone,13,18,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=jiGqlSSWAec,TRUE
16/12/19,21:00,Grip,RacersAv,Road,2019,2019/3,Automobilista,250 KM Mini,Interlagos,1,1,SIM,-,-,-,-,-,SIM,https://www.youtube.com/watch?v=sWbGbJk06u4,TRUE
18/12/19,21:00,Grip,RacersAv,Road,2019,2019/3,Automobilista,250 KM Marcas,Interlagos,5,2,-,SIM,-,-,-,-,-,https://www.youtube.com/watch?v=sw40OOdJ5ZE,TRUE
21/12/19,23:59,Grip,ProRace,Road,2019,2020/1,Automobilista,GT3,Road America,7,5,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=UX0C4iXCxgE,TRUE
11/01/20,23:59,Grip,ProRace,Road,2020,2020/1,Automobilista,GT3,Monza,5,11,-,-,-,-,-,-,-,https://www.youtube.com/watch?v=4nCS5AjbtPw,TRUE
